fips,farms,fland,tcland,clay,sand,flood,kfact,lslop,irr,perm,wet,moist,salt,year,rvalue_lb_acre,rvalue_me,rtfsale,rtotexp,rprofit,rgpay_tot,rvalue_me_acre,rprofit_acre
1047,435,248.674,98.14,.18428825,.051978737,.16302422,.27731246,95.293564,0,1.70658,.16881479,.14662729,0,1997,1057.044749528401,23514.60951582477,32.52185254663593,25.17926409557745,7.342588451058479,1.8741,94559.984,29526.965
1047,408,233.422,115.821,.18431832,.026331188,.11878292,.27472207,98.947922,0,1.6260327,.16881479,.14478935,0,1992,755.3753472222222,21921.54675925926,30.03430208333333,24.43223611111111,5.602065972222221,2.3287728,93913.797,23999.734
1047,640,356.607,179.06,.15672745,.02316412,.11729916,.27491868,90.585014,.013307048,1.6730508,.1697579,.14472154,0,1978,1091.853146853147,,58.92367482517483,,,,,
1047,486,250.035,129.045,.17393705,.025400331,.11374931,.27391496,97.472115,0,1.6925732,.16928636,.14372998,0,1987,652.6954918032786,23989.04781420765,31.18718415300546,27.71609549180328,3.471088661202186,3.6488378,95942.758,13882.411
1047,557,305.641,167.266,.15672745,.02316412,.11729916,.27491868,90.585014,.013307048,1.6730508,.1697579,.14472154,0,1982,1161.348422059292,,49.88157379662098,,,,,
1047,490,235.894,83.05500000000001,.18428825,.051978737,.16302422,.27731246,95.293564,0,1.70658,.16881479,.14662729,0,2002,1173,31335,25.785,24.928,.857,1.946,132835.09,3632.9878
1049,2378,233.003,139.871,0,0,.00096993212,.23061106,94.975754,0,2.5413191,.0248746,.15870515,0,1978,1974.434440559441,,205.3844010052448,,,,,
1049,2177,237.336,126.647,0,0,0,.23400225,94.445068,0,2.3866591,.025676999,.15934417,0,2002,2392,78989,268.323,195.795,72.52800000000001,1.076,332815.09,305592.06
1049,2228,221.502,131.043,0,0,.00096993212,.23061106,94.975754,0,2.5413191,.0248746,.15870515,0,1982,1740.363563914568,,163.023455211986,,,,,
1049,2047,213.44,122.392,0,0,.00098425196,.23334646,92.701775,0,2.4480314,.0252758,.15799704,0,1987,1500.204234972678,68690.86803278688,170.4843468579235,138.7681807377049,31.71616612021858,1.5329101,321827.53,148595.23
